code,year_,freq,ITEM6008,ITEM7011,ITEM8406
12685,2017,A,IT0000072618,96892,8087994.8809
12685,2018,A,IT0000072618,92117,8400056.45
12685,2019,A,IT0000072618,89102,9004859.5991
12685,2020,A,IT0000072618,,
12781,2010,A,IT0003128367,78313,2069068.9924
12781,2011,A,IT0003128367,75360,2173487.2612
12781,2012,A,IT0003128367,73702,2243507.6389
12781,2013,A,IT0003128367,71394,2211796.5095
12781,2014,A,IT0003128367,68961,2313873.0587
12781,2015,A,IT0003128367,67914,2264525.7237
12781,2016,A,IT0003128367,62080,2399017.3969
12781,2017,A,IT0003128367,62900,2373402.2258
12781,2018,A,IT0003128367,69272,2268145.8598
12781,2019,A,IT0003128367,68253,2378122.5734
12781,2020,A,IT0003128367,,
18710,2010,A,NL0010273215,6548,933010.07941
18710,2011,A,NL0010273215,7955,907866.75047
18710,2012,A,NL0010273215,8497,867486.76003
18710,2013,A,NL0010273215,10360,1097897.3938
18710,2014,A,NL0010273215,14072,865206.43832
18710,2015,A,NL0010273215,14681,903618.21402
18710,2016,A,NL0010273215,16647,1031478.4045
18710,2017,A,NL0010273215,19216,945290.38301
18710,2018,A,NL0010273215,20044,992845.73937
18710,2019,A,NL0010273215,23219,955437.35734
18710,2020,A,NL0010273215,,
18810,2010,A,NL0000235190,121691,648667.52677
18810,2011,A,NL0000235190,133115,632287.87139
18810,2012,A,NL0000235190,140405,623795.44888
18810,2013,A,NL0000235190,144061,621063.29957
18810,2014,A,NL0000235190,138622,652024.93111
18810,2015,A,NL0000235190,136574,731632.668
18810,2016,A,NL0000235190,133782,774214.76731
18810,2017,A,NL0000235190,129442,852420.38905
18810,2018,A,NL0000235190,133671,825631.588
18810,2019,A,NL0000235190,134931,810792.18267
18810,2020,A,NL0000235190,,
18895,2010,A,NL0011821202,107106,
18895,2011,A,NL0011821202,97043,
18895,2012,A,NL0011821202,92572,12606176.814
18895,2013,A,NL0011821202,83690,
18895,2014,A,NL0011821202,68431,
18895,2015,A,NL0011821202,54873,15325478.833
18895,2016,A,NL0011821202,54737,15433198.75
18895,2017,A,NL0011821202,54302,15568450.517
18895,2018,A,NL0011821202,54804,16170151.814
18895,2019,A,NL0011821202,56196,15855470.14
18895,2020,A,NL0011821202,,
18919,2010,A,NL0011794037,122027,117310.1035
18919,2011,A,NL0011794037,121000,120545.45455
18919,2012,A,NL0011794037,125000,117832
18919,2013,A,NL0011794037,123000,119764.22764
18919,2014,A,NL0011794037,227000,60105.72687
18919,2015,A,NL0011794037,236000,64627.11864
18919,2016,A,NL0011794037,370000,96148.64865
18919,2017,A,NL0011794037,369000,90609.7561
18919,2018,A,NL0011794037,372000,89198.92473
18919,2019,A,NL0011794037,380000,108623.68421
18919,2020,A,NL0011794037,,
18952,2010,A,NL0000009538,119001,259812.94275
18952,2011,A,NL0000009538,121888,223590.50932
18952,2012,A,NL0000009538,118087,230016.85198
18952,2013,A,NL0000009538,114689,216969.36934
18952,2014,A,NL0000009538,105365,245736.25018
18952,2015,A,NL0000009538,104204,270795.7468
18952,2016,A,NL0000009538,105223,280461.49606
18952,2017,A,NL0000009538,73951,320712.36359
18952,2018,A,NL0000009538,77400,312545.21964
18952,2019,A,NL0000009538,80495,312454.1897
18952,2020,A,NL0000009538,,
21599,2010,A,ES0148396007,92301,87769.73164
21599,2011,A,ES0148396007,100138,95136.00232
21599,2012,A,ES0148396007,109512,96818.66827
21599,2013,A,ES0148396007,120314,103959.3231
21599,2014,A,ES0148396007,128313,103080.72448
21599,2015,A,ES0148396007,137054,107500.88286
21599,2016,A,ES0148396007,152854,109017.22559
21599,2017,A,ES0148396007,162450,116339.8338
21599,2018,A,ES0148396007,171839,113402.66179
21599,2019,A,ES0148396007,174386,119424.72446
21599,2020,A,ES0148396007,176611,153755.99481
21720,2010,A,ES0113900J37,178869,6711123.8672
21720,2011,A,ES0113900J37,193349,6381026.0203
21720,2012,A,ES0113900J37,186763,6692283.8035
21720,2013,A,ES0113900J37,182958,5982629.8932
21720,2014,A,ES0113900J37,185405,6710347.6174
21720,2015,A,ES0113900J37,193863,6799724.5478
21720,2016,A,ES0113900J37,188492,6991601.7656
21720,2017,A,ES0113900J37,202251,7026392.9474
21720,2018,A,ES0113900J37,194456,7384770.8479
21720,2019,A,ES0113900J37,192376,7796902.9401
21720,2020,A,ES0113900J37,,
21741,2010,A,ES0144580Y14,31344,2878165.5181
21741,2011,A,ES0144580Y14,31885,2896645.6641
21741,2012,A,ES0144580Y14,31338,2945351.4583
21741,2013,A,ES0144580Y14,30678,2796812.6671
21741,2014,A,ES0144580Y14,28212,3116904.9695
21741,2015,A,ES0144580Y14,27169,3608328.389
21741,2016,A,ES0144580Y14,28389,3513616.753
21741,2017,A,ES0144580Y14,28750,3662823.8609
21741,2018,A,ES0144580Y14,33415,3218671.9737
21741,2019,A,ES0144580Y14,34306,3381589.3138
21741,2020,A,ES0144580Y14,,
59463,2010,A,FI0009013403,33755,117653.68094
